principio_activo_buscado,farmacia,producto_nombre,marca,precio,precio_lista,categorias,url
Enalapril,pharmacys,Enalapril 10mg rocnarf tableta,Enalapril,4.5,4.5,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/enalapril-10mg-rocnarf-tableta/p
Enalapril,pharmacys,Enalapril 10mg dyvenpro ecuagen tableta,Enalapril,4.8,4.8,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/enalapril-10mg-dyvenpro-ecuagen-tableta/p
Enalapril,pharmacys,Enalapril 20mg dyvenpro ecuagen comprimidos,Enalapril,2.8,2.8,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/enalapril-20mg-dyvenpro-ecuagen-comprimidos/p
Enalapril,pharmacys,Enalapril 5mg tecnoquimicas - genericos tableta,Enalapril,5.56,5.56,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/enalapril-5mg-tecnoquimicas-genericos-tableta/p
Enalapril,pharmacys,Enalapril 20mg tecnoquimicas - genericos tableta,Enalapril,2.74,2.74,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/alivio-topico-yodosalil-unguento-120-g/p
Enalapril,pharmacys,Enalapril 5mg garcos - nifa genericos tableta,Enalapril,1.8,1.8,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/enalapril-5mg-garcos-nifa-genericos-tableta/p
Enalapril,pharmacys,Enalapril 20mg garcos - nifa genericos tableta,Enalapril,3.0,3.0,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/enalapril-20mg-garcos-nifa-genericos-tableta/p
Enalapril,pharmacys,Enalapril 10mg garcos - nifa genericos tableta,Enalapril,4.5,4.5,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/enalapril-10mg-garcos-nifa-genericos-tableta/p
Enalapril,pharmacys,Enalten 20/12.5mg ecuaquimica - saval comprimidos,Enalten,15.6,15.6,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/enalten-20-125mg-ecuaquimica-saval-comprimidos/p
Enalapril,pharmacys,Enalten 20mg ecuaquimica - saval comprimidos,Enalten,4.5,4.5,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/enalten-20mg-ecuaquimica-saval-comprimidos/p
Enalapril,medicity,Enalapril Ecuaquimica Comprimidos 20mg Caja 20 Unidades,ECUAQUIMICA,0.11,0.14,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/enalapril-ecuaquimica-comprimidos-20mg-caja-20-unidades-1/p
Enalapril,medicity,Enalapril Nifa Tabletas 10 mg Caja 30,NIFA,0.14,0.15,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/enalapril-nifa-tabletas-caja-con-20-unidades/p
Enalapril,medicity,Cardiol Tabletas 10 mg Caja Con 30 Unidades,CARDIOL,0.17,0.18,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/cardiol-tabletas-10-mg-caja-con-30-unidades/p
Enalapril,cruzazul,Enalapril 10mg rocnarf tableta,Enalapril,4.5,4.5,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/enalapril-10mg-rocnarf-tableta/p
Enalapril,cruzazul,Enalapril 10mg dyvenpro ecuagen tableta,Enalapril,4.8,4.8,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/enalapril-10mg-dyvenpro-ecuagen-tableta/p
Enalapril,cruzazul,Enalapril 20mg dyvenpro ecuagen comprimidos,Enalapril,2.8,2.8,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/enalapril-20mg-dyvenpro-ecuagen-comprimidos/p
Enalapril,cruzazul,Enalapril 5mg tecnoquimicas - genericos tableta,Enalapril,5.56,5.56,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/enalapril-5mg-tecnoquimicas-genericos-tableta/p
Enalapril,cruzazul,Enalapril 20mg tecnoquimicas - genericos tableta,Enalapril,2.74,2.74,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/alivio-topico-yodosalil-unguento-120-g/p
Enalapril,cruzazul,Enalapril 5mg garcos - nifa genericos tableta,Enalapril,1.8,1.8,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/enalapril-5mg-garcos-nifa-genericos-tableta/p
Enalapril,cruzazul,Enalapril 20mg garcos - nifa genericos tableta,Enalapril,3.0,3.0,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/enalapril-20mg-garcos-nifa-genericos-tableta/p
Enalapril,cruzazul,Enalapril 10mg garcos - nifa genericos tableta,Enalapril,4.5,4.5,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/enalapril-10mg-garcos-nifa-genericos-tableta/p
Enalapril,cruzazul,Enalten 20/12.5mg ecuaquimica - saval comprimidos,Enalten,15.6,15.6,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/enalten-20-125mg-ecuaquimica-saval-comprimidos/p
Enalapril,cruzazul,Enalten 20mg ecuaquimica - saval comprimidos,Enalten,4.5,4.5,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/enalten-20mg-ecuaquimica-saval-comprimidos/p
