principio_activo,concentracion,forma_farmaceutica,presentacion_referencial,categoria
Enalapril,5mg,tableta,caja x30,hipertension
Enalapril,10mg,tableta,caja x30,hipertension
Enalapril,20mg,tableta,caja x30,hipertension
Captopril,25mg,tableta,caja x30,hipertension
Captopril,50mg,tableta,caja x30,hipertension
Lisinopril,10mg,tableta,caja x30,hipertension
Lisinopril,20mg,tableta,caja x30,hipertension
Ramipril,5mg,tableta,caja x30,hipertension
Ramipril,10mg,tableta,caja x30,hipertension
Perindopril,4mg,tableta,caja x30,hipertension
Perindopril,8mg,tableta,caja x30,hipertension
Enalapril/Hidroclorotiazida,10/25mg,tableta,caja x30,hipertension
Captopril/Hidroclorotiazida,50/25mg,tableta,caja x30,hipertension
Losartan,25mg,tableta,caja x30,hipertension
Losartan,50mg,tableta,caja x30,hipertension
Losartan,50mg,tableta,caja x10,hipertension
Losartan,100mg,tableta,caja x30,hipertension
Losartan/Hidroclorotiazida,50/12.5mg,tableta,caja x30,hipertension
Losartan/Hidroclorotiazida,100/25mg,tableta,caja x30,hipertension
Valsartan,80mg,tableta,caja x30,hipertension
Valsartan,160mg,tableta,caja x30,hipertension
Valsartan/Hidroclorotiazida,160/12.5mg,tableta,caja x30,hipertension
Telmisartan,40mg,tableta,caja x30,hipertension
Telmisartan,80mg,tableta,caja x30,hipertension
Telmisartan/Hidroclorotiazida,80/12.5mg,tableta,caja x30,hipertension
Irbesartan,150mg,tableta,caja x30,hipertension
Irbesartan,300mg,tableta,caja x30,hipertension
Olmesartan,20mg,tableta,caja x30,hipertension
Olmesartan,40mg,tableta,caja x30,hipertension
Candesartan,8mg,tableta,caja x30,hipertension
Candesartan,16mg,tableta,caja x30,hipertension
Amlodipino,5mg,tableta,caja x30,hipertension
Amlodipino,5mg,tableta,caja x10,hipertension
Amlodipino,10mg,tableta,caja x30,hipertension
Nifedipino retard,30mg,tableta,caja x30,hipertension
Nifedipino retard,60mg,tableta,caja x30,hipertension
Losartan/Amlodipino,50/5mg,tableta,caja x30,hipertension
Amlodipino/Valsartan,5/160mg,tableta,caja x30,hipertension
Verapamilo,80mg,tableta,caja x30,hipertension
Diltiazem,60mg,tableta,caja x30,hipertension
Diltiazem retard,120mg,tableta,caja x30,hipertension
Atenolol,50mg,tableta,caja x30,hipertension
Atenolol,100mg,tableta,caja x30,hipertension
Metoprolol tartrato,50mg,tableta,caja x30,hipertension
Metoprolol tartrato,100mg,tableta,caja x30,hipertension
Metoprolol succinato retard,25mg,tableta,caja x30,hipertension
Metoprolol succinato retard,50mg,tableta,caja x30,hipertension
Bisoprolol,2.5mg,tableta,caja x30,hipertension
Bisoprolol,5mg,tableta,caja x30,hipertension
Bisoprolol,10mg,tableta,caja x30,hipertension
Carvedilol,6.25mg,tableta,caja x30,hipertension
Carvedilol,12.5mg,tableta,caja x30,hipertension
Carvedilol,25mg,tableta,caja x30,hipertension
Propranolol,40mg,tableta,caja x30,hipertension
Nebivolol,5mg,tableta,caja x30,hipertension
Hidroclorotiazida,25mg,tableta,caja x30,hipertension
Hidroclorotiazida,50mg,tableta,caja x30,hipertension
Furosemida,40mg,tableta,caja x30,hipertension
Espironolactona,25mg,tableta,caja x30,hipertension
Espironolactona,100mg,tableta,caja x30,hipertension
Indapamida,2.5mg,tableta,caja x30,hipertension
Clortalidona,25mg,tableta,caja x30,hipertension
Clonidina,0.1mg,tableta,caja x30,hipertension
Clonidina,0.15mg,tableta,caja x30,hipertension
Doxazosina,2mg,tableta,caja x30,hipertension
Doxazosina,4mg,tableta,caja x30,hipertension
Prazosina,1mg,tableta,caja x30,hipertension
Metildopa,250mg,tableta,caja x30,hipertension
Metformina,500mg,tableta,caja x30,diabetes
Metformina,500mg,tableta,caja x50,diabetes
Metformina,850mg,tableta,caja x30,diabetes
Metformina,1000mg,tableta,caja x30,diabetes
Metformina liberacion prolongada,500mg,tableta,caja x30,diabetes
Metformina liberacion prolongada,1000mg,tableta,caja x30,diabetes
Glibenclamida,5mg,tableta,caja x30,diabetes
Glimepirida,1mg,tableta,caja x30,diabetes
Glimepirida,2mg,tableta,caja x30,diabetes
Glimepirida,4mg,tableta,caja x30,diabetes
Glimepirida/Metformina,2/500mg,tableta,caja x30,diabetes
Gliclazida,30mg,tableta,caja x30,diabetes
Gliclazida,60mg,tableta,caja x30,diabetes
Gliclazida,80mg,tableta,caja x30,diabetes
Sitagliptina,50mg,tableta,caja x28,diabetes
Sitagliptina,100mg,tableta,caja x28,diabetes
