principio_activo_buscado,categoria,producto_nombre_real,marca,farmacias_disponible,n_farmacias,precio_min,precio_max,url_ejemplo
Acido acetilsalicilico,analgesico_antiinflamatorio,Analgésico y antiinflamatorio acido acetilsalicilico 100mg tableta x 100,Acido Acetilsalicilico,cruzazul|pharmacys,2,16.0,16.0,https://www.pharmacys.com.ec/analgesico-y-antiinflamatorio-acido-acetilsalicilico-100mg-tableta-x-100/p
Acido acetilsalicilico,analgesico_antiinflamatorio,Aspirina 100 mg Caja con 100 Tabletas,ASPIRINA,medicity,1,0.17,0.17,https://www.farmaciasmedicity.com/aspirina-100-mg-caja-con-100-tabletas/p
Acido acetilsalicilico,analgesico_antiinflamatorio,Cardio-Aspirina Tabletas Recubiertas 100 mg Caja Con 30 Unidades,CARDIO-ASPIRINA,medicity,1,0.23,0.23,https://www.farmaciasmedicity.com/cardio-aspirina-tabletas-recubiertas-100-mg-caja-con-30-unidades/p
Acido acetilsalicilico,analgesico_antiinflamatorio,Cardionil 81mg alianza quimica ariston comprimido recubierto,Cardionil,cruzazul|pharmacys,2,8.28,8.28,https://www.pharmacys.com.ec/cardionil-81mg-alianza-quimica-ariston-comprimido-recubierto/p
Acido acetilsalicilico,analgesico_antiinflamatorio,Eclamp Tableta Recubierta 150 mg Caja 30 Unidades,ECLAMP,medicity,1,0.37,0.37,https://www.farmaciasmedicity.com/eclamp-tableta-recubierta-150-mg-caja-30-unidades-1/p
Celecoxib,analgesico_antiinflamatorio,Celebrex Cápsulas 200 mg Caja 30 Unidades,CELEBREX,medicity,1,1.63,1.63,https://www.farmaciasmedicity.com/celebrex-capsulas-200-mg-caja-con-30-unidades/p
Celecoxib,analgesico_antiinflamatorio,Celebrex Cápsulas 200 mg Caja Con 10 Unidades,CELEBREX,medicity,1,1.63,1.63,https://www.farmaciasmedicity.com/celebrex-capsulas-200-mg-caja-con-10-unidades/p
Celecoxib,analgesico_antiinflamatorio,Celecoxib 200mg dyvenpro ecuagen cápsulas,Celecoxib,cruzazul|pharmacys,2,9.0,9.0,https://www.pharmacys.com.ec/celecoxib-200mg-dyvenpro-ecuagen-capsulas/p
Celecoxib,analgesico_antiinflamatorio,Celecoxib 200mg garcos - nifa genericos cápsulas,Celecoxib,cruzazul|pharmacys,2,8.4,8.4,https://www.pharmacys.com.ec/celecoxib-200mg-garcos-nifa-genericos-capsulas/p
Celecoxib,analgesico_antiinflamatorio,Celecoxib 200mg portugal - generico cápsulas,Celecoxib,cruzazul|pharmacys,2,50.0,50.0,https://www.pharmacys.com.ec/celecoxib-200mg-portugal-generico-capsulas/p
Celecoxib,analgesico_antiinflamatorio,Celecoxib 200mg tecnoquimicas - genericos cápsulas,Celecoxib,cruzazul|pharmacys,2,7.4,7.4,https://www.pharmacys.com.ec/bloqueador-hawaiian-tropic-sheer-touch-en-crema-fps-50-120-ml/p
Celecoxib,analgesico_antiinflamatorio,Celecoxib Nifa Cápsulas 200 mg Caja Con 10 Unidades,NIFA,medicity,1,0.77,0.77,https://www.farmaciasmedicity.com/celecoxib-nifa-capsulas-200-mg-caja-con-10-unidades/p
Celecoxib,analgesico_antiinflamatorio,Colcibra 200mg dyvenpro farma comercial 2 cápsulas,Colcibra,cruzazul|pharmacys,2,15.0,15.0,https://www.pharmacys.com.ec/colcibra-200mg-dyvenpro-farma-comercial-2-capsulas/p
Celecoxib,analgesico_antiinflamatorio,Gesix 200mg ecuaquimica - saval cápsulas,Gesix,cruzazul|pharmacys,2,11.5,11.5,https://www.pharmacys.com.ec/gesix-200mg-ecuaquimica-saval-capsulas/p
Dexketoprofeno,analgesico_antiinflamatorio,Merlix 25mg leterago - unipharm tableta,Merlix,cruzazul|pharmacys,2,7.04,8.8,https://www.pharmacys.com.ec/merlix-25mg-leterago-unipharm-tableta/p
Diclofenaco,analgesico_antiinflamatorio,Diclofenaco Genfar Emulgel 1 Tubo con 50 g,GENFAR,medicity,1,5.52,5.52,https://www.farmaciasmedicity.com/diclofenaco-genfar-emulgel-1-tubo-con-50-g/p
Diclofenaco,analgesico_antiinflamatorio,Diclofenaco Genfar Tabletas Recubierto 50 mg 30 Unidades,GENFAR,medicity,1,0.13,0.13,https://www.farmaciasmedicity.com/diclofenaco-genfar-tabletas-recubierto-50-mg-30-unidades-1/p
Diclofenaco,analgesico_antiinflamatorio,Diclofenaco Retard Mk Cápsula 100 mg Caja 20 Unidades,DICLOFENACO RETARD,medicity,1,0.44,0.44,https://www.farmaciasmedicity.com/diclofenaco-retard-mk-capsula-100-mg-caja-20-unidades-1/p
Diclofenaco,analgesico_antiinflamatorio,Diclofenaco emu-gelx1%x50mg genf,Diclofenaco Sodico,cruzazul|pharmacys,2,4.8,6.0,https://www.pharmacys.com.ec/diclofenaco-emu-gelx1-x50mg-genf/p
Diclofenaco,analgesico_antiinflamatorio,Diclofenaco gelx1%x20gr ngen,Diclofenaco Sodico,cruzazul|pharmacys,2,2.0,2.0,https://www.pharmacys.com.ec/diclofenaco-sodico-1-portugal-generico-gel-106484/p
Diclofenaco,analgesico_antiinflamatorio,Diclofenaco gelx1%x50gr mk,Diclofenaco Sodico,cruzazul|pharmacys,2,6.65,8.31,https://www.pharmacys.com.ec/diclofenaco-gelx1-x50gr-mk/p
Diclofenaco,analgesico_antiinflamatorio,Diclofenaco gelx1%x50gr ngen,Diclofenaco Sodico,cruzazul|pharmacys,2,3.5,3.5,https://www.pharmacys.com.ec/diclofenaco-sodico-1-portugal-generico-gel/p
Diclofenaco,analgesico_antiinflamatorio,Dolo-Neurobión Forte con Diclofenaco Tabletas 30 Unidades,DOLO-NEUROBION,medicity,1,0.7,0.7,https://www.farmaciasmedicity.com/dolo-neurobion-forte-tabletas-con-30-unidades/p
Diclofenaco,analgesico_antiinflamatorio,Genfar Diclofenaco Solución Inyectable 75mg/3ml Caja 10 Unidades,GENFAR,medicity,1,0.55,0.55,https://www.farmaciasmedicity.com/genfar-diclofenaco-solucion-inyectable-75mg-3ml-caja-10-unidades-1/p
Diclofenaco,analgesico_antiinflamatorio,Genfar Diclofenaco Tabletas De Liberación Prolongada 100 mg Caja 20 Unidades,GENFAR,medicity,1,0.28,0.28,https://www.farmaciasmedicity.com/genfar-diclofenaco-tabletas-de-liberacion-prolongada-100-mg-caja-20-unidades-1/p
Diclofenaco,analgesico_antiinflamatorio,Voltaren Emulgel Gel Forte Tubo 100g,VOLTAREN,medicity,1,23.92,23.92,https://www.farmaciasmedicity.com/voltaren-emulgel-gel-forte-tubo-100g/p
Diclofenaco sodico,analgesico_antiinflamatorio,Diclofenaco Santé Cápsulas 100 mg Liberación Prolongada Con 20 Unidades,LA SANTE,medicity,1,0.24,0.24,https://www.farmaciasmedicity.com/diclofenaco-sante-capsulas-100-mg-liberacion-prolongada-con-20-unidades/p
Diclofenaco sodico,analgesico_antiinflamatorio,Diclofenaco sodico 1% kronos genericos gel,Diclofenaco Sodico,cruzazul|pharmacys,2,3.0,3.0,https://www.pharmacys.com.ec/diclofenaco-sodico-1-kronos-genericos-gel/p
Diclofenaco sodico,analgesico_antiinflamatorio,Diclofenaco sodico 100mg dyvenpro ecuagen cápsulas,Diclofenaco Sodico,cruzazul|pharmacys,2,5.2,5.2,https://www.pharmacys.com.ec/diclofenaco-sodico-100mg-dyvenpro-ecuagen-capsulas/p
Diclofenaco sodico,analgesico_antiinflamatorio,Diclofenaco sodico 100mg ecuaquimica - mintlab cápsulas,Diclofenaco Sodico,cruzazul|pharmacys,2,1.63,1.63,https://www.pharmacys.com.ec/diclofenaco-sodico-100mg-ecuaquimica-mintlab-capsulas/p
Diclofenaco sodico,analgesico_antiinflamatorio,Diclofenaco sodico 100mg tecnoquimicas - genericos cápsulas,Diclofenaco Sodico,cruzazul|pharmacys,2,9.6,9.6,https://www.pharmacys.com.ec/diclofenaco-sodico-100mg-tecnoquimicas-genericos-capsulas/p
Diclofenaco sodico,analgesico_antiinflamatorio,Diclofenaco sodico 50mg dyvenpro ecuagen tableta recubierta,Diclofenaco Sodico,cruzazul|pharmacys,2,2.75,2.75,https://www.pharmacys.com.ec/diclofenaco-sodico-50mg-dyvenpro-ecuagen-tableta-recubierta/p
Diclofenaco sodico,analgesico_antiinflamatorio,Diclofenaco sodico 50mg labovida tabletas recubiertas,Diclofenaco Sodico,cruzazul|pharmacys,2,4.5,4.5,https://www.pharmacys.com.ec/diclofenaco-sodico-50mg-labovida-tabletas-recubiertas/p
Diclofenaco sodico,analgesico_antiinflamatorio,Diclofenaco sodico 75mg dyvenpro ecuagen solución inyectable,Diclofenaco Sodico,cruzazul|pharmacys,2,3.3,3.3,https://www.pharmacys.com.ec/diclofenaco-sodico-75mg-dyvenpro-ecuagen-solucion-inyectable/p
Diclofenaco sodico,analgesico_antiinflamatorio,Diclofenaco sodico 75mg genamerica generico ampollas inyectables,Diclofenaco Sodico,cruzazul|pharmacys,2,5.32,5.32,https://www.pharmacys.com.ec/diclofenaco-sodico-75mg-genamerica-generico-ampollas-inyectables/p
Diclofenaco sodico,analgesico_antiinflamatorio,Diclofenaco sodico 75mg kronos genericos ampolla inyectable,Diclofenaco Sodico,cruzazul|pharmacys,2,5.8,5.8,https://www.pharmacys.com.ec/diclofenaco-sodico-75mg-kronos-genericos-ampolla-inyectable/p
Diclofenaco sodico,analgesico_antiinflamatorio,Diclofenaco sodico 75mg labvitalis ampolla inyectable,Diclofenaco Sodico,cruzazul|pharmacys,2,22.0,22.0,https://www.pharmacys.com.ec/diclofenaco-sodico-75mg-labvitalis-ampolla-inyectable-107587/p
Diclofenaco sodico,analgesico_antiinflamatorio,Dolo-Medox Solución Inyectable (Sol I+ Sol Ii) Caja Con 1 Unidad,DOLO-MEDOX,medicity,1,4.14,4.14,https://www.farmaciasmedicity.com/dolo-medox-solucion-inyectable-sol-i-sol-ii-caja-con-1-unidad/p
Diclofenaco sodico,analgesico_antiinflamatorio,Dolo-Neurobión DC Diclofenaco Sódico Jeringa 3 Unidades,DOLO-NEUROBION,medicity,1,6.41,6.41,https://www.farmaciasmedicity.com/dolo-neurobion-dc-solucion-inyectable-prellena-3-ml-con-3-unidades/p
Diclofenaco sodico,analgesico_antiinflamatorio,Voltaren Sr Tabletas Recubiertas 75 mg Caja Con 10 Unidades,VOLTAREN,medicity,1,0.65,0.65,https://www.farmaciasmedicity.com/voltaren-sr-tabletas-recubiertas-75-mg-caja-con-10-unidades/p
Diclofenaco/Vitaminas B1-B6-B12,analgesico_antiinflamatorio,Dolo-neurobion 1/100mg alianza procter &amp; gamble tabletas recubiertas retard,Dolo-neurobion,cruzazul|pharmacys,2,27.08,27.08,https://www.pharmacys.com.ec/dolo-neurobion-1-100mg-alianza-procter-gamble-tabletas-recubiertas-retard/p
Diclofenaco/Vitaminas B1-B6-B12,analgesico_antiinflamatorio,Dolo-neurobion 50/1mg alianza procter &amp; gamble tableta forte,Dolo-neurobion,cruzazul|pharmacys,2,25.08,25.08,https://www.pharmacys.com.ec/dolo-neurobion-50-1mg-alianza-procter-gamble-tableta-forte/p
Etoricoxib,analgesico_antiinflamatorio,Arcoxia Comprimido Recubierto 90 mg Caja 28 Unidades,ARCOXIA,medicity,1,1.45,1.45,https://www.farmaciasmedicity.com/arcoxia-comprimido-recubierto-caja-con-28-unidades/p
Etoricoxib,analgesico_antiinflamatorio,Arcoxia Comprimidos Recubiertos Caja Con 28 Unidades,ARCOXIA,medicity,1,1.57,1.57,https://www.farmaciasmedicity.com/arcoxia-comprimidos-recubiertos-caja-con-28-unidades/p
Etoricoxib,analgesico_antiinflamatorio,Davintex Comprimidos 10 Unidades,DAVINTEX,medicity,1,1.56,1.56,https://www.farmaciasmedicity.com/davintex-comprimidos-recubiertos-caja-con-10-unidades/p
Etoricoxib,analgesico_antiinflamatorio,Davintex Comprimidos 120 mg 10 Unidades,DAVINTEX,medicity,1,2.48,2.48,https://www.farmaciasmedicity.com/davintex-comprimidos-recubiertos-120-mg-caja-con-10-unidades/p
Etoricoxib,analgesico_antiinflamatorio,Doltrex 60mg dyvenpro farma comercial 1 comprimidos,Doltrex,cruzazul|pharmacys,2,16.6,16.6,https://www.pharmacys.com.ec/doltrex-60mg-dyvenpro-farma-comercial-1-comprimidos/p
Etoricoxib,analgesico_antiinflamatorio,Doltrex 90mg dyvenpro farma comercial 1 comprimidos,Doltrex,cruzazul|pharmacys,2,17.76,17.76,https://www.pharmacys.com.ec/doltrex-90mg-dyvenpro-farma-comercial-1-comprimidos/p
Etoricoxib,analgesico_antiinflamatorio,Dolux Comprimidos Recubiertos Caja Con 10 Unidades,DOLUX,medicity,1,2.48,2.48,https://www.farmaciasmedicity.com/dolux-comprimidos-recubiertos-caja-con-10-unidades/p
Etoricoxib,analgesico_antiinflamatorio,Etoricox 120mg eurofarma marcas tableta,Etoricox,cruzazul|pharmacys,2,38.08,38.08,https://www.pharmacys.com.ec/etoricox-120mg-eurofarma-marcas-tableta/p
